Vidar,2018-08-31
Arvid,2018-08-31
Sam,2018-09-01
Samuel,2018-09-01
Justina,2018-09-02
Justus,2018-09-02
Alfhild,2018-09-03
Alva,2018-09-03
Gisela,2018-09-04
Adela,2018-09-05
Heidi,2018-09-05
Lilian,2018-09-06
Lilly,2018-09-06
Kevin,2018-09-07
Regina,2018-09-07
Roy,2018-09-07
Hulda,2018-09-08
Alma,2018-09-08
Anita,2018-09-09
Annette,2018-09-09
Tord,2018-09-10
Turid,2018-09-10
Dagny,2018-09-11
Helny,2018-09-11
Åsa,2018-09-12
Åslög,2018-09-12
Sture,2018-09-13
Ida,2018-09-14
Sigrid,2018-09-15
Siri,2018-09-15
Dag,2018-09-16
Daga,2018-09-16
Hildegard,2018-09-17
Magnhild,2018-09-17
Orvar,2018-09-18
Fredrika,2018-09-19
Elise,2018-09-20
Lisa,2018-09-20
Matteus,2018-09-21
Maurits,2018-09-22
Moritz,2018-09-22
Tea,2018-09-23
Tekla,2018-09-23
Gerhard,2018-09-24
Gert,2018-09-24
Tryggve,2018-09-25
Einar,2018-09-26
Enar,2018-09-26
Dagmar,2018-09-27
Rigmor,2018-09-27
Lennart,2018-09-28
Leonard,2018-09-28
Mikael,2018-09-29
Mikaela,2018-09-29
Helge,2018-09-30
Ragna,2018-10-01
Ragnar,2018-10-01
Love,2018-10-02
Ludvig,2018-10-02
Evald,2018-10-03
Osvald,2018-10-03
Frank,2018-10-04
Frans,2018-10-04
Bror,2018-10-05
Jennifer,2018-10-06
Jenny,2018-10-06
Birgitta,2018-10-07
Britta,2018-10-07
Nils,2018-10-08
Inger,2018-10-09
Ingrid,2018-10-09
Harriet,2018-10-10
Harry,2018-10-10
Erling,2018-10-11
Jarl,2018-10-11
Manfred,2018-10-12
Valfrid,2018-10-12
Berit,2018-10-13
Birgit,2018-10-13
Stellan,2018-10-14
Hedvig,2018-10-15
Hillevi,2018-10-15
Finn,2018-10-16
Toini,2018-10-17
Antonia,2018-10-17
Lukas,2018-10-18
Tor,2018-10-19
Tore,2018-10-19
Sibylla,2018-10-20
Ursula,2018-10-21
Yrsa,2018-10-21
Marika,2018-10-22
Marita,2018-10-22
Severin,2018-10-23
Sören,2018-10-23
Eilert,2018-10-24
Evert,2018-10-24
Inga,2018-10-25
Ingalill,2018-10-25
Rasmus,2018-10-26
Amanda,2018-10-26
Sabina,2018-10-27
Simon,2018-10-28
Simone,2018-10-28
Viola,2018-10-29
Elsa,2018-10-30
Isabella,2018-10-30
Edgar,2018-10-31
Edit,2018-10-31
Tobias,2018-11-02
Hubert,2018-11-03
Hugo,2018-11-03
Sverker,2018-11-04
Eugen,2018-11-05
Eugenia,2018-11-05
Gustav Adolf,2018-11-06
Ingegerd,2018-11-07
Ingela,2018-11-07
Vendela,2018-11-08
Teodor,2018-11-09
Teodora,2018-11-09
Martin,2018-11-10
Martina,2018-11-10
Mårten,2018-11-11
Konrad,2018-11-12
Kurt,2018-11-12
Krister,2018-11-13
Kristian,2018-11-13
Emil,2018-11-14
Emilia,2018-11-14
Leopold,2018-11-15
Vibeke,2018-11-16
Viveka,2018-11-16
Naemi,2018-11-17
Naima,2018-11-17
Lillemor,2018-11-18
Moa,2018-11-18
Elisabet,2018-11-19
Lisbet,2018-11-19
Marina,2018-11-20
Pontus,2018-11-20
Helga,2018-11-21
Olga,2018-11-21
Cecilia,2018-11-22
Sissela,2018-11-22
Klemens,2018-11-23
Gudrun,2018-11-24
Rune,2018-11-24
Katarina,2018-11-25
Katja,2018-11-25
Linus,2018-11-26
Asta,2018-11-27
Astrid,2018-11-27
Malte,2018-11-28
Sune,2018-11-29
Anders,2018-11-30
Andreas,2018-11-30
Oskar,2018-12-01
Ossian,2018-12-01
Beata,2018-12-02
Beatrice,2018-12-02
Lydia,2018-12-03
Barbara,2018-12-04
Barbro,2018-12-04
Sven,2018-12-05
Niklas,2018-12-06
Nikolaus,2018-12-06
Angela,2018-12-07
Angelika,2018-12-07
Virginia,2018-12-08
Anna,2018-12-09
Malena,2018-12-10
Malin,2018-12-10
Daniel,2018-12-11
Daniela,2018-12-11
Alexander,2018-12-12
Alexis,2018-12-12
Lucia,2018-12-13
Sixten,2018-12-14
Sten,2018-12-14
Gottfrid,2018-12-15
Assar,2018-12-16
Stig,2018-12-17
Abraham,2018-12-18
Isak,2018-12-19
Israel,2018-12-20
Moses,2018-12-20
Tomas,2018-12-21
Jonatan,2018-12-22
Natanael,2018-12-22
Adam,2018-12-23
Eva,2018-12-24
Staffan,2018-12-26
Stefan,2018-12-26
Johan,2018-12-27
Johannes,2018-12-27
Benjamin,2018-12-28
Natalia,2018-12-29
Natalie,2018-12-29
Abel,2018-12-30
Set,2018-12-30
Sylvester,2018-12-31
